course_id,department,level,credits,title,description,num_assignments,num_exams,num_projects,gpa_avg,workload
CMSC131,CMSC,1000,4,Object-Oriented Programming I,"Introduction to programming using Java. Students complete weekly homework assignments covering basic data types, control flow, methods, and object-oriented design. Two midterm exams and a final exam are required.",8,3,0,3.1,medium
CMSC132,CMSC,1000,4,Object-Oriented Programming II,"Intermediate programming covering data structures and algorithms in Java. Weekly programming projects, two midterms, and a final exam. Students implement linked lists, trees, and hash tables from scratch.",10,3,0,2.9,high
CMSC250,CMSC,2000,4,Discrete Structures,"Mathematical foundations of computer science including logic, proof techniques, sets, relations, and graph theory. Weekly problem sets, two midterm exams, and a comprehensive final.",10,3,0,2.8,high
CMSC330,CMSC,3000,3,Organization of Programming Languages,"Study of programming language design and implementation. Weekly programming projects in OCaml, Rust, and Ruby. Two midterms and a final exam.",8,3,0,2.9,high
CMSC351,CMSC,3000,3,Algorithms,"Rigorous analysis of algorithms and complexity theory. Weekly problem sets, a midterm, and a final exam. Demands strong mathematical background and extensive written proofs.",12,2,0,2.6,high
CMSC414,CMSC,4000,3,Computer and Network Security,"Study of security vulnerabilities, cryptography, and secure system design. Several security projects, weekly homework, two midterms.",6,2,3,3.0,high
CMSC420,CMSC,4000,3,Data Structures,"Advanced data structures and their applications. Weekly programming assignments using Java. Midterm exam, final project, and weekly quizzes.",8,1,1,3.1,high
ENES100,ENES,1000,3,Introduction to Engineering Design,"Project-based introduction to engineering. Weekly lab sessions, design reports, two midterms, and a final design showcase.",4,2,1,3.3,medium
ENES220,ENES,2000,3,Mechanics of Materials,"Stress, strain, and material deformation. Weekly homework, lab reports, two midterm exams, and a comprehensive final.",8,3,0,2.9,medium
ENEE222,ENEE,2000,3,Elements of Discrete Signal Analysis,"Mathematical treatment of discrete-time signals and systems. Weekly problem sets, two midterm exams, and a comprehensive final. Demanding mathematical content.",10,3,0,2.8,high
ENEE380,ENEE,3000,3,Electromagnetic Theory,"Electrostatics, magnetostatics, and electromagnetic waves. Weekly problem sets, MATLAB assignments, two exams, and a design project.",8,2,1,2.9,high
MATH140,MATH,1000,4,Calculus I,"Introduction to differential calculus. Weekly homework assignments, two midterm exams and a final. Covers limits, derivatives, and applications.",8,3,0,3.0,medium
MATH141,MATH,1000,4,Calculus II,"Integral calculus and infinite series. Weekly homework, quizzes every two weeks, two midterms and a final. Faster pace than Calculus I.",10,3,0,2.9,medium
MATH240,MATH,2000,4,Introduction to Linear Algebra,"Vectors, matrices, linear systems, and eigenvalues. Weekly homework assignments, two midterms and a final. Emphasis on both computation and theory.",8,3,0,3.1,medium
MATH241,MATH,2000,4,Calculus III,"Multivariable calculus including partial derivatives, multiple integrals, and vector calculus. Weekly homework, two midterms and a final.",10,3,0,2.9,high
MATH410,MATH,4000,3,Advanced Calculus I,"Rigorous treatment of calculus including epsilon-delta proofs. Weekly proof-based homework, two midterms, final exam. One of the most challenging undergraduate math courses.",10,3,0,2.5,high
MATH412,MATH,4000,3,Advanced Calculus II,"Continuation of real analysis covering sequences of functions and metric spaces. Weekly problem sets with proofs, midterm and final exam.",10,2,0,3.1,high
CHEM131,CHEM,1000,3,Chemistry I — Fundamentals,"Introduction to chemistry including atomic structure and stoichiometry. Weekly problem sets, lab reports, two midterms and a final.",8,3,0,2.9,medium
CHEM241,CHEM,2000,3,Organic Chemistry I,"Mechanistic organic chemistry. Notorious for demanding workload: weekly homework, lab reports every week, two midterms and a final. Lab takes 3 hours per session.",12,3,0,2.6,high
BIOL105,BIOL,1000,3,Principles of Biology I,"Molecular and cellular biology concepts. Weekly reading assignments, two exams, lab reports, and a final exam.",6,3,0,3.2,medium
BIOL311,BIOL,3000,3,Genetics,"Classical and molecular genetics. Weekly problem sets, two midterms, final, and a research paper.",8,3,1,3.0,medium
PHYS161,PHYS,1000,4,General Physics — Mechanics,"Mechanics and thermodynamics. Weekly homework, recitation quizzes, two midterms and a final. Lab each week with report due.",10,3,0,2.8,medium
PHYS260,PHYS,2000,4,General Physics — Vibrations Waves Optics and Thermodynamics,"Wave phenomena, optics, and thermodynamics. Weekly homework, lab reports, two midterms and a cumulative final.",10,3,0,2.8,medium
ECON200,ECON,2000,3,Principles of Micro Economics,"Introduction to microeconomic theory and markets. Three exams and weekly reading; minimal homework assignments.",0,3,0,3.3,low
ECON325,ECON,3000,3,Intermediate Macroeconomic Theory and Policy,"Mathematical treatment of macroeconomic theory. Weekly problem sets, two midterms and a final.",6,3,0,3.0,medium
PSYC100,PSYC,1000,3,Introduction to Psychology,"Survey of major areas of psychology. Two exams, short weekly reflections, and weekly reading quizzes.",2,2,0,3.5,low
PSYC221,PSYC,2000,3,Developmental Psychology,"Survey of human development from birth through adulthood. Two short papers, two exams, and weekly reading quizzes.",2,2,0,3.4,low
PSYC300,PSYC,3000,3,Research Methods in Psychology,"Statistical methods and experimental design. Weekly assignments, midterm, final, and a research project with written report.",8,2,1,3.1,medium
HIST111,HIST,1000,3,History of the United States to 1865,"Survey of American history to the Civil War. Three essays, two exams, and weekly reading.",3,2,0,3.3,low
HIST429,HIST,4000,3,Modern Europe,"Advanced reading-intensive seminar. Weekly response papers, a long research paper, and participation in discussion.",8,1,1,3.2,medium
ENGL101,ENGL,1000,3,Academic Writing,"Introduction to academic writing. Four major essays and multiple drafts required. Weekly writing workshops.",4,0,0,3.6,low
